id,popularity,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
237326,1.342,Kidnap,1,1,th,0,0.0,"In need of money for his brother's medication, Min takes work as a kidnapper. When his employer asks him to kill the rich young man he's kidnapped, Min cannot bring himself to pull the trigger. Instead, he tells them the job's complete and takes him home to hide him away.",False,/abV0Q5teNysX7m7xprefFZ96Ne3.jpg,,,,True,ลับ-จ้าง-ลัก,/uO1GKokazjHCNbxdqT3hG8WWNwJ.jpg,Scripted,Planned,,Drama,Kinc,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237327,1.5696666666666663,My Golden Blood,1,1,th,0,0.0,"Mark, a vampire, never knew the meaning of life until Tong walks in. Now he will do everthing to protect Tong and spend every second by his side. But what if Tong has the most powerful blood in the world? Will Mark be able to resist? And what will happen if he can't?",False,/wKhEG5tDvheMdSK1oN9PedRqYl0.jpg,,,,True,เลือดนายลมหายใจฉัน,/eJIJqYuiUbMeNPOg7i5BIBaJbvy.jpg,Scripted,Planned,Forbidden friendship that turns into a quest to protect his love.,"Drama,Romance",Dawin,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237328,1.0586666666666666,Peaceful Property,1,1,th,0,0.0,"Home, the heir of a wealthy and famous Thai family, lives a carefree life until his grandfather passes away and he has to return to Thailand to receive his inheritance. The inheritance he was left is no ordinary property, all the properties have been rumoured to be haunted, making them unsellable.

The life of skilled chef Peach changes dramatically when he's met with a severe accident. After he's recovered, he develops the ability to see spirits and holes up at home, irritating his TikTok-crazy influencer sister Pangpang. One day, Peach goes to a housewarming party full of ghosts and Pangpang's TikTok at the event immediately goes viral. Home is furious when he sees the clip, so he and Attorney Kan find Peach and pressure him to take responsibility for what he's done by exorcising the place... and more.",False,,,,,True,บ้านหลอน ON SALE,/8WsvXR9U4Etu0t6t9xxpsbHYQh6.jpg,Scripted,Returning Series,,"Comedy,Horror",,th,"YouTube, GMM 25, Viu, oneD",TH,ภาษาไทย,GMMTV,Thailand,0
237329,1.2013333333333334,Ossan's Love Thailand,1,1,th,0,0.0,"Heng's dull love life turns chaotic as his boss Kongdech, roommate Mo, and childhood friend Chicha confess their love, leaving him in a whirlwind of emotions.",False,/paUKWU3Jx4rqSsCKw9jzl2hvgFx.jpg,,,,True,Ossan's Love Thailand,,Scripted,Planned,,"Comedy,Drama,Romance",,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237330,2.551333333333333,Pluto,1,2,th,0,0.0,"Ai-oon is the disappointing twin of successful and beloved Ob-oom. They aren't close.

On Ob-oom's wedding night, she takes Ai-oon aside and makes a request of her. Ob-oon and her husband Paul will be going away for their honeymoon and she'll be leaving something important behind: a lover, May, she hasn't broken up with—and she wants Ai-oon to do it for her.

In the early morning following the wedding, Ai-oon learns that the newlyweds got into an accident. Paul has passed away and Ob-oom is in a coma. When Ai-oon decides to fullfil her sister's request, she's shocked to learn that May is both blind and a woman. She finds herself unprepared to complete the task.",False,/jLRWeAaMpPex52XwBPlmwpvh7ZH.jpg,,,,True,นิทาน ดวงดาว ความรัก,/xMvsY0QOKMBZVbIB81M721cwOpN.jpg,Scripted,In Production,"Pluto Tales, Stars, Love","Drama,Romance",Chao Planoy,th,"GMM 25, Viu, oneD",TH,ภาษาไทย,GMMTV,Thailand,0
237331,0.6,John Lennon: Murder Without a Trial,1,1,en,0,0.0, ,False,,2023-12-14,,,True,John Lennon: Murder Without a Trial,,Documentary,Returning Series,,Documentary,,en,Apple TV+,US,English,,United States of America,0
237332,0.7633333333333333,The Trainee Series,1,1,th,0,0.0,,False,,,,,True,The Trainee Series,,Scripted,Planned,,,,th,,TH,ภาษาไทย,,,0
237333,1.3999999999999997,We Are,1,1,th,0,0.0,"A group of university friends navigate academics, friendships, and romance as they deal with the ups and downs of campus life.",False,/t4Iirk9JGHdjVyxyJG8sWD9Vd9X.jpg,,,,True,คือเรารักกัน,/c3GjZu2khzdqSi34rPdOZjfxH1w.jpg,Scripted,Planned,,Drama,ภารวี.SeaHeart,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237334,0.942,Temen Ngekost,1,1,id,0,0.0,,False,/8z8i5HvYVa806C0u2uKzuw4QnAx.jpg,2023-09-08,2023-09-08,,False,Temen Ngekost,/xWeyHTitU8Cyf7QV1u9PExdyckK.jpg,Miniseries,Ended,,"Comedy, Drama",Sinemaku Pictures,id,,ID,Bahasa indonesia,Sinemaku Pictures,Indonesia,0
237335,0.8666666666666667,Summer Night,1,1,th,0,0.0,"School years should be the best time of our lives, but Lune spends his days invisible, no one taking an interest in him. At the start of a new summer, however, secrets are about to overturn his ordinary life.",False,,,,,True,ความลับในคืนฤดูร้อน,/fcZODw7VYcscf0ywbeKKLZbkSDw.jpg,Scripted,Planned,,"Comedy,Drama,Romance",,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
